0,1,1
0,2,2
0,5,5
0,10,10

1,1,2
1,2,3
1,5,5
1,10,11

2,1,3
2,2,4
2,5,7
2,10,12

3,1,4
3,2,5
3,5,8
3,10,13

4,1,5
4,2,6
4,5,9
4,10,14

5,1,6
5,2,7
5,5,10
5,10,15

6,1,7
6,2,8
6,5,11
6,10,16

7,1,8
7,2,9
7,5,12
7,10,17

8,1,9
8,2,10
8,5,13
8,10,18

9,1,10
9,2,11
9,5,14
9,10,19

10,1,10
10,2,10
10,5,10
10,10,10

11,1,11
11,2,11
11,5,11
11,10,11

12,1,12
12,2,12
12,5,12
12,10,12

13,1,13
13,2,13
13,5,13
13,10,13

14,1,14
14,2,14
14,5,14
14,10,14

15,1,15
15,2,15
15,5,15
15,10,15

16,1,16
16,2,16
16,5,16
16,10,16

17,1,17
17,2,17
17,5,17
17,10,17

18,1,18
18,2,18
18,5,18
18,10,18

19,1,19
19,2,19
19,5,19
19,10,19
